id,date,latitude,longitude,magnitude
19839,2010-01-02,12.424,141.949,6.1
19840,2010-01-03,-5.297,145.859,5.8
19841,2010-01-03,-8.802,-77.718,5.7
19842,2010-01-03,-8.726,157.487,6.6
19843,2010-01-03,-8.783,157.354,7.1
19844,2010-01-04,-8.917,157.606,5.6
19845,2010-01-04,-8.375,157.087,5.8
19846,2010-01-05,-58.173,-14.695,6.8
19847,2010-01-05,-9.019,157.551,6.8
19848,2010-01-05,-9.050,157.892,6
19849,2010-01-05,-8.890,158.032,5.7
19850,2010-01-06,-49.789,164.192,5.7
19851,2010-01-06,-41.605,-16.568,5.6
19852,2010-01-06,-4.405,151.746,5.6
19853,2010-01-07,-53.516,159.280,5.6
19854,2010-01-09,-9.131,157.626,6.2
19855,2010-01-10,40.652,-124.693,6.5
19856,2010-01-12,-5.417,133.731,5.5
19857,2010-01-12,18.443,-72.571,7
19858,2010-01-12,18.387,-72.784,6
19859,2010-01-12,18.452,-72.513,5.7
19860,2010-01-13,18.420,-72.861,5.6
19861,2010-01-13,18.404,-72.826,5.6
19862,2010-01-13,18.367,-72.903,5.8
19863,2010-01-13,-15.656,-174.799,5.5
19864,2010-01-13,-0.687,133.330,5.8
19865,2010-01-14,11.510,142.082,5.8
19866,2010-01-14,-11.964,166.264,5.5
19867,2010-01-15,-31.728,-177.612,5.9
19868,2010-01-15,26.746,126.285,5.7
19869,2010-01-15,10.454,-63.475,5.6
19870,2010-01-16,51.711,177.706,5.5
19871,2010-01-17,37.938,143.599,5.6
19872,2010-01-17,-6.122,152.587,5.7
19873,2010-01-17,-57.664,-65.879,6.3
19874,2010-01-18,46.482,153.262,5.6
19875,2010-01-18,13.728,-90.132,5.9
19876,2010-01-18,38.404,21.961,5.5
19877,2010-01-18,-12.484,166.293,5.7
19878,2010-01-19,-8.997,158.071,5.6
19879,2010-01-19,19.004,-80.804,5.9
19880,2010-01-20,18.423,-72.823,5.9
19881,2010-01-21,13.551,125.460,5.5
19882,2010-01-21,8.268,-110.357,5.6
19883,2010-01-24,-8.205,129.029,5.5
19884,2010-01-24,-9.180,157.756,5.5
19885,2010-01-24,-18.513,167.897,5.6
19886,2010-01-25,30.964,130.888,5.5
19887,2010-01-25,-18.599,-173.696,5.6
19888,2010-01-25,-8.498,-74.466,5.9
19889,2010-01-27,-14.100,-14.554,5.8
19890,2010-01-27,13.639,125.486,5.9
19891,2010-01-28,-23.357,-66.712,5.9
19892,2010-01-29,-18.948,169.665,5.8
19893,2010-01-29,1.634,-90.281,5.5
19894,2010-01-29,1.585,-90.602,5.6
19895,2010-01-30,-57.638,-141.462,5.6
19896,2010-02-01,-6.112,154.463,6.2
19897,2010-02-04,-19.434,-173.857,5.6
19898,2010-02-04,40.412,-124.961,5.88
19899,2010-02-05,-47.911,99.593,6.2
19900,2010-02-06,46.836,152.731,6
19901,2010-02-06,-16.004,-172.737,5.5
19902,2010-02-07,23.488,123.615,6.3
19903,2010-02-07,-23.225,-66.564,5.6
19904,2010-02-07,-23.319,-179.877,5.9
19905,2010-02-07,-23.335,-179.877,5.6
19906,2010-02-09,15.893,-96.861,5.7
19907,2010-02-09,-15.053,-173.492,6.1
19908,2010-02-10,-7.048,154.855,5.5
19909,2010-02-11,-40.593,-16.769,5.5
19910,2010-02-11,-9.905,113.845,5.8
19911,2010-02-11,34.000,25.393,5.5
19912,2010-02-12,-33.622,-68.789,5.8
19913,2010-02-13,-21.902,-174.767,6.1
19914,2010-02-15,-7.217,128.723,6.2
19915,2010-02-17,-29.756,-177.836,5.9
