YEAR,MONTH,DAY,PRIMARY_MAGNITUDE,COUNTRY,LATITUDE,LONGITUDE,INTENSITY_SOLOVIEV
-2000,,,,SYRIA,35.683,35.8,6
-1610,,,,GREECE,36.4,25.4,6
-1365,,,,SYRIA,35.683,35.8,6
-1300,,,6,TURKEY,39.96,26.24,5
-760,,,,ISRAEL,,,3
-590,,,,LEBANON,33.27,35.22,6
-525,,,,LEBANON,33.56,35.37,3
-480,9,29,,GREECE,37.9,23.5,
-479,,,7,GREECE,39.7,23.3,3
-426,6,,7.1,GREECE,38.9,22.7,5
-373,,,7.3,GREECE,38.25,22.25,5
-330,,,7,GREECE,40,25,
-326,11,,,INDIA,23,71,
-227,,,7.2,GREECE,36.3,28.3,3
-226,,,,GREECE,38.6,23.3,
-223,10,,,GREECE,38.809,22.784,
-218,,,,SPAIN,36.2,-7.17,
-210,,,,PORTUGAL,36,-10.5,
-198,,,,GREECE,36.404,25.396,
-150,,,,SRI LANKA,,,
-138,,,,ISRAEL,,,3
-60,,,6.7,PORTUGAL,36,-10,
-58,,,6.6,ALBANIA,41.3,19.5,3
-50,,,5.5,GEORGIA,43,41,
-50,,,,BULGARIA,43.5,28.5,
-47,9,,,CHINA,37.5,119.5,
-23,,,,EGYPT,,,3
46,,,6.2,GREECE,36.404,25.396,3
62,,,6.9,GREECE,35.2,25.1,3
76,6,20,6.3,CYPRUS,34.8,32,4
79,8,24,,ITALY,40.821,14.426,4
115,12,13,7.5,TURKEY,36.1,36.1,
120,,,7.2,TURKEY,40.77,29.92,2
123,,,6.3,SOUTH KOREA,35.8,129.2,
142,,,7,GREECE,36.7,28,4
173,6,28,,CHINA,37.5,120,1
177,,,,ITALY,38,15,6
258,,,,ITALY,41.9,12.45,4
262,,,,TURKEY,36.6,30,4
315,,,,DEAD SEA,31.7,35.5,3
342,,,,CYPRUS ISLAND,,,
344,,,,TURKEY,40.3,26.5,
346,,,6.8,ALBANIA,41.4,19.4,
348,,,4.1,TURKEY,33.9,35.5,3
358,8,24,,TURKEY,40.77,29.9,
362,5,24,,JORDAN,31.3,35.6,3
365,7,21,8,GREECE,35,23,4
368,,,6.4,TURKEY,40.5,29.6,
382,,,,PORTUGAL,36,-10.83,
407,4,1,6.6,TURKEY,41,29,4
416,,,,INDONESIA,-6.102,105.423,3.5
426,,,,GREECE,,,
447,1,26,7.3,TURKEY,40.9,28.5,4
450,1,26,7,TURKEY,40.4,28.4,
478,9,25,,TURKEY,40.8,29.2,
543,,,6.8,TURKEY,40.3,27.8,4
551,4,,7.1,GREECE,38.4,22.3,4
551,7,7,,GREECE,38.4,22.3,
551,7,9,7.8,TURKEY,40.8,29.9,3
552,5,,7.2,GREECE,38.4,22.4,
554,8,15,7,GREECE,36.5,27.5,4
