id,year,month,date,magnitude,country,latitude,longitude,intensity
2483,2010,1,3,6.6,SOLOMON ISLANDS,-8.743,157.477,
2484,2010,1,3,7.1,SOLOMON ISLANDS,-8.799,157.346,
2485,2010,1,5,6.8,SOLOMON ISLANDS,-9.019,157.551,
2486,2010,1,12,7,HAITI,18.457,-72.533,
2487,2010,2,26,7,JAPAN,25.93,128.425,
2488,2010,2,27,8.8,CHILE,-36.122,-72.898,
2489,2010,3,11,6.9,CHILE,-34.29,-71.891,
2490,2010,4,6,7.8,INDONESIA,2.383,97.048,
2494,2010,6,12,7.5,INDIA,7.881,91.936,
2495,2010,8,10,7.2,VANUATU,-17.541,168.069,
2496,2010,8,13,6.9,USA TERRITORY,12.484,141.476,
2497,2010,10,25,7.8,INDONESIA,-3.487,100.082,
2498,2010,12,21,7.4,JAPAN,26.901,143.698,
2499,2010,12,25,7.3,VANUATU,-19.702,167.947,
2500,2011,1,9,6.5,VANUATU,-19.157,168.311,
2501,2011,2,11,6.8,CHILE,-36.474,-73.125,
2502,2011,2,21,6.1,NEW ZEALAND,-43.583,172.68,
2503,2011,3,9,7.5,JAPAN,38.435,142.842,
2504,2011,3,11,9.1,JAPAN,38.297,142.372,
2505,2011,4,7,7.1,JAPAN,38.276,141.588,
2506,2011,6,24,7.3,USA,52.05,-171.836,
2508,2011,7,6,7.6,NEW ZEALAND,-29.539,-176.34,
2509,2011,7,10,7,JAPAN,38.034,143.264,
2512,2011,8,20,7.1,VANUATU,-18.365,168.143,
2513,2011,8,20,7,VANUATU,-18.311,168.218,
2514,2011,9,2,6.8,USA,52.171,-171.708,
2515,2011,10,21,7.4,NEW ZEALAND,-28.993,-176.238,
2516,2012,2,2,7,VANUATU,-17.827,167.133,
2517,2012,3,14,6.9,JAPAN,40.887,144.944,
2518,2012,3,20,7.4,MEXICO,16.493,-98.231,
2519,2012,4,11,8.6,INDONESIA,2.327,93.063,
2520,2012,4,11,8.2,INDONESIA,0.802,92.463,
2521,2012,4,14,6.3,VANUATU,-18.972,168.741,
2523,2012,8,27,7.3,NICARAGUA,12.139,-88.59,
2524,2012,8,31,7.6,PHILIPPINES,10.811,126.638,
2525,2012,9,5,7.6,COSTA RICA,10.085,-85.315,
2526,2012,10,28,7.7,CANADA,52.788,-132.101,
2527,2012,11,7,7.3,GUATEMALA,13.988,-91.895,
2528,2012,12,7,7.2,JAPAN,37.89,143.949,
2530,2013,1,5,7.5,USA,55.393,-134.652,
2531,2013,2,6,7.9,SOLOMON ISLANDS,-10.766,165.114,
2532,2013,2,8,7,SOLOMON ISLANDS,-10.928,166.018,
2533,2013,4,19,7.2,RUSSIA,46.221,150.788,
2535,2013,7,21,6.5,NEW ZEALAND,-41.704,174.337,
2536,2013,8,16,6.5,NEW ZEALAND,-41.767,174.061,
2538,2013,10,25,7.1,JAPAN,37.149,144.679,
2539,2013,11,17,7.8,ANTARCTICA,-60.296,-46.362,
2540,2014,3,16,6.7,CHILE,-19.925,-70.628,
2541,2014,4,1,8.2,CHILE,-19.642,-70.817,
2542,2014,4,3,7.6,CHILE,-20.4,-70.135,
2543,2014,4,12,7.6,SOLOMON ISLANDS,-11.315,162.211,
2544,2014,4,13,7.4,SOLOMON ISLANDS,-11.451,162.069,
2545,2014,4,18,7.2,MEXICO,17.552,-100.816,
2546,2014,4,19,7.5,PAPUA NEW GUINEA,-6.72,154.931,
2547,2014,6,23,6.9,NEW ZEALAND,-30.118,-177.67,
2548,2014,6,23,7.9,USA,51.797,178.76,
2549,2014,7,11,6.5,JAPAN,37.04,142.425,
2550,2014,7,25,6.1,USA,58.358,-137.13,
2551,2014,10,9,7.1,CHILE,-32.115,-110.779,
2552,2014,10,14,7.3,EL SALVADOR,12.526,-88.123,
2553,2014,11,15,7.1,INDONESIA,1.928,126.54,
2554,2015,2,16,6.7,JAPAN,39.83,142.89,
2555,2015,2,19,6.4,VANUATU,-16.431,168.148,
2556,2015,3,29,7.5,PAPUA NEW GUINEA,-4.76,152.556,
2557,2015,5,2,5.7,JAPAN,31.594,140.167,
2558,2015,5,5,7.5,PAPUA NEW GUINEA,-5.465,151.886,
2560,2015,7,10,6.7,SOLOMON ISLANDS,-9.303,158.396,
2561,2015,7,18,7,SOLOMON ISLANDS,-10.444,165.172,
2562,2015,7,27,6.9,USA,52.736,-169.446,
2563,2015,9,16,8.3,CHILE,-31.573,-71.674,
2565,2015,11,11,6.9,CHILE,-29.439,-72.105,
2566,2015,11,13,6.7,JAPAN,30.991,128.877,
2567,2015,11,17,6.5,GREECE,38.755,20.552,
2568,2016,3,2,7.8,INDONESIA,-4.908,94.275,
2569,2016,4,16,7.8,ECUADOR,0.382,-79.922,
2570,2016,4,28,7,VANUATU,-16.074,167.393,
2571,2016,8,12,7.2,NEW CALEDONIA,-22.495,173.111,
2572,2016,8,19,7.4,UK TERRITORY,-55.279,-31.874,
2573,2016,9,1,7.1,NEW ZEALAND,-37.401,179.055,
