id,year,month,date,magnitude,country,latitude,longitude,intensity
86,869,7,13,8.6,JAPAN,38.5,143.8,4
90,887,8,26,8.6,JAPAN,33,135.3,3
178,1513,,,8.7,PERU,-17.2,-72.3,3
207,1575,12,16,8.5,CHILE,-39.8,-73.2,2.5
214,1586,7,10,8.5,PERU,-12.3,-77.7,3.5
226,1604,11,24,8.5,PERU,-17.88,-70.94,3.5
306,1668,7,25,8.5,CHINA,35.3,118.6,
344,1687,10,20,8.5,PERU,-13.5,-76.5,3.5
366,1700,1,27,9,USA,45,-125,
408,1730,7,8,8.7,CHILE,-32.5,-71.5,3.5
443,1751,5,25,8.5,CHILE,-37,-73,3.5
459,1755,11,1,8.5,PORTUGAL,37,-10,
477,1761,3,31,8.5,PORTUGAL,34.5,-13,2
621,1811,12,16,8.5,USA,35.6,-90.4,
624,1812,2,7,8.8,USA,36.5,-89.6,
646,1818,11,8,8.5,INDONESIA,-7,117,2
649,1819,4,12,8.5,CHILE,-27,-71.5,2
669,1822,11,20,8.5,CHILE,-33,-72,2
734,1837,11,7,8.5,CHILE,-42.5,-74,3
944,1861,2,16,8.5,INDONESIA,-1,97.5,3
1023,1868,8,13,8.5,CHILE,-18.6,-71,3.5
1024,1868,8,13,8.5,VENEZUELA,10.7,-63.1,
1025,1868,8,14,8.5,CHILE,-18.6,-71,
1311,1897,6,12,8.7,INDIA,26,91,
1314,1897,9,20,8.6,PHILIPPINES,6,122,1
1315,1897,9,21,8.7,PHILIPPINES,6,122,2.5
1409,1906,1,31,8.8,ECUADOR,1,-81.5,3
1581,1922,11,11,8.7,CHILE,-28.553,-70.755,2.5
1776,1938,2,1,8.5,INDONESIA,-5.25,130.5,1.5
1836,1946,4,1,8.6,USA,53.492,-162.832,4
1876,1950,8,15,8.6,INDIA,28.5,96.5,
1905,1952,11,4,9,RUSSIA,52.755,160.057,4
1943,1957,3,9,8.6,USA,51.292,-175.629,3
1975,1960,5,22,9.5,CHILE,-38.143,-73.407,4
2013,1963,10,13,8.5,RUSSIA,44.772,149.798,2.5
2018,1964,3,28,9.2,USA,61.017,-147.648,3.5
2028,1965,2,4,8.7,USA,51.29,178.55,2.5
2424,2004,12,26,9.1,INDONESIA,3.316,95.854,
2427,2005,3,28,8.7,INDONESIA,2.085,97.108,
2488,2010,2,27,8.8,CHILE,-36.122,-72.898,
2504,2011,3,11,9.1,JAPAN,38.297,142.372,
2519,2012,4,11,8.6,INDONESIA,2.327,93.063,
