Year,Month,Day,Country,Latitude,Longitude
,,,,,
2010,1,,Ecuador,-1.467,-78.442
2010,3,31,Iceland,63.63,-19.62
2010,5,27,Guatemala,14.381,-90.601
2010,5,29,United States,16.708,145.78
2010,8,6,Indonesia,2.78,125.48
2010,8,30,Indonesia,3.17,98.392
2010,10,26,Indonesia,-7.542,110.442
2010,11,,Ecuador,-1.467,-78.442
2010,12,28,Indonesia,-7.942,112.95
2011,1,3,Indonesia,-7.542,110.442
2011,1,28,Japan,31.93,130.87
2011,2,23,Philippines,12.77,124.05
2011,3,18,Indonesia,2.78,125.48
2011,4,,Ecuador,-1.467,-78.442
2011,6,4,Chile,-40.59,-72.117
2011,6,22,Eritrea,13.37,41.7
2011,7,9,Iceland,63.63,-19.05
2011,7,17,Indonesia,1.358,124.792
2011,12,27,Indonesia,0.8,127.325
2012,2,10,United States,19.425,-155.292
2012,3,2,United States,19.425,-155.292
2012,12,12,Russia,55.83,160.33
2013,2,12,Indonesia,-7.542,110.442
2013,2,,Indonesia,-8.32,121.708
2013,5,7,Philippines,13.257,123.685
2013,8,10,Indonesia,-8.32,121.708
2013,9,1,Peru,-16.355,-70.903
2013,9,4,Japan,31.58,130.67
2013,9,15,Indonesia,3.17,98.392
2013,12,13,New Zealand,-38.12,176.5
2014,2,1,Indonesia,3.17,98.392
2014,2,13,Indonesia,-7.93,112.308
2014,9,27,Japan,35.9,137.48
2014,11,10,United States,19.425,-155.292
2014,11,23,Cape Verde,14.95,-24.35
2014,12,18,Indonesia,0.8,127.325
2015,2,20,Indonesia,3.17,98.392
2015,4,22,Chile,-41.326,-72.614
2015,5,7,Indonesia,2.78,125.48
2015,7,31,Papua New Guinea,-4.1,145.061
2015,10,16,Indonesia,3.17,98.392
2015,10,,New Zealand,-38.12,176.5
2016,5,9,Indonesia,3.17,98.392
2016,5,21,Indonesia,3.17,98.392
2016,6,9,United States,44.43,-110.67
2016,9,27,Indonesia,-8.42,116.47
2016,10,8,Japan,32.88,131.1
2017,3,15,Italy,37.734,15.004
2017,4,13,Indonesia,3.17,98.392
2017,6,6,Guatemala,14.473,-90.88
2017,7,1,Indonesia,-7.2,109.92
2017,9,12,Italy,40.827,14.139
2017,9,23,Vanuatu,-15.4,167.83
2017,12,18,Indonesia,-7.542,110.442
2017,12,27,Indonesia,3.17,98.392
2018,1,5,Papua New Guinea,-3.62,144.62
2018,1,13,Philippines,13.257,123.685
2018,1,23,Japan,36.62,138.55
2018,2,1,United States,19.425,-155.292
2018,2,9,Papua New Guinea,-3.62,144.62
2018,3,21,Indonesia,-8.058,114.242
2018,4,28,United States,19.425,-155.292
2018,4,,Vanuatu,-15.4,167.83
