YEAR,MONTH,DAY,COUNTRY,LATITUDE,LONGITUDE,DISTANCE_FROM_SOURCE,MAXIMUM_HEIGHT
-2000,,,SYRIA,35.583,35.75,12,
-1610,,,SYRIA,35.583,35.75,935,
-1610,,,GREECE,35.5,25,106,
-479,,,GREECE,40.3,23.33,67,
-426,6,,GREECE,,,,
-426,6,,GREECE,38.8,22.55,17,
-426,6,,GREECE,38,23.68,132,
-426,6,,GREECE,39.12,23.72,91,
-426,6,,GREECE,38.651,22.999,38,
-426,6,,GREECE,38.817,22.733,10,
-426,6,,GREECE,38.815,22.816,14,
-426,6,,GREECE,38.633,23.0833,45,
-426,6,,GREECE,40.173,22.487,143,
-426,6,,GREECE,38.817,23.233,47,
-373,,,GREECE,38.21,22.13,11,
-227,,,GREECE,36.167,28,31,
-218,,,SPAIN,36.533,-6.3,86,
-210,,,SPAIN,36.533,-6.3,381,
-138,,,LEBANON,33.5631,35.3689,,
-138,,,ISRAEL,32.924,35.073,,
-138,,,LEBANON,33.2733,35.1939,,
-58,,,ALBANIA,41.323,19.441,6,
-23,,,EGYPT,31.133,32.667,,
-23,,,EGYPT,31.2,29.919,,
62,,,GREECE,34.931,24.929,34,
115,12,13,ISRAEL,32.483,34.883,418,
123,,,SOUTH KOREA,35.8428,129.2117,5,
142,,,GREECE,36.58,27.83,20,
142,,,GREECE,37.15,24.5,315,
142,,,GREECE,36.8933,27.2889,67,
142,,,GREECE,36.167,28,59,
173,6,28,CHINA,37.1717,119.9214,37,
173,6,28,CHINA,37.6481,120.5261,49,
173,6,28,CHINA,36.8536,119.3908,90,
258,,,ITALY,41.9,12.45,0,
342,7,,GREECE,41.3,19.5,,
346,,,ALBANIA,41.3231,19.4414,9,
348,,,SYRIA,34.85,35.85,110,
348,,,SYRIA,,,,
348,,,LEBANON,33.53,35.3,45,
358,8,24,TURKEY,40.77,29.94,3,
365,7,21,CROATIA,42.5811,18.2181,939,
365,7,21,ITALY,38.18,15.56,752,
365,7,21,SPAIN,36.7333,-3.0167,2346,
365,7,21,PORTUGAL,37.025,-8.9944,2874,
365,7,21,GREECE,38.25,21.75,378,
365,7,21,GREECE,35.3,25.167,200,
365,7,21,EGYPT,31.2,29.919,771,
365,7,21,TURKEY,40.154,26.407,647,
365,7,21,SPAIN,36.717,-4.417,2470,
365,7,21,GREECE,35.325,25.1306,197,
365,7,21,GREECE,36.818,21.703,234,
368,,,TURKEY,,,,
407,,,ITALY,40.733,13.95,1265,
416,,,INDIA,13.1144,80.2086,3511,
416,,,INDONESIA,-6.342,105.94,63,
416,,,INDONESIA,-6.78,106.8,170,
416,,,INDONESIA,-5.8368,105.6513,39,
